Year,Lg,Tm,City,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1973,NFL,Cleveland Browns,Cleveland,7,5,2,3rd of 4,,234,255,-21,Skorich,Scott,Phipps,Brown,Morin,18,23,13,11,24,14,19,26,-1.5,0.3,-1.2,-2.6,1.4
1972,NFL,Cleveland Browns*,Cleveland,10,4,0,2nd of 4,Lost Div,268,249,19,Skorich,Davis,Phipps,Kelly,Pitts,17,19,9,16,11,14,19,26,1.4,-1.1,0.3,-1.6,1.9
1971,NFL,Cleveland Browns*,Cleveland,9,5,0,1st of 4,Lost Div,285,273,12,Skorich,Kelly,Nelsen,Kelly,Hooker,10,18,10,17,18,12,18,26,0.9,-0.6,0.3,1.1,-0.8
1970,NFL,Cleveland Browns,Cleveland,7,7,0,2nd of 4,,286,265,21,Collier,Scott,Nelsen,Kelly,Morin,13,7,13,22,20,12,15,26,1.5,-0.9,0.6,0.5,0.1
1969,NFL,Cleveland Browns*,Cleveland,10,3,1,1st of 4,Lost Conf,351,300,51,Collier,Nelsen,Nelsen,Kelly,Warfield,3,5,9,11,6,5,7,16,3.6,-2.8,0.9,2.6,-1.7
1968,NFL,Cleveland Browns*,Cleveland,10,4,0,1st of 4,Lost Conf,394,273,121,Collier,Kelly,Nelsen,Kelly,Warfield,3,2,7,8,1,3,4,16,8.6,-1.5,7.1,6.6,0.6
1967,NFL,Cleveland Browns*,Cleveland,9,5,0,1st of 4,Lost Div,334,297,37,Collier,Kelly,Ryan,Kelly,Warfield,7,10,8,12,8,5,13,16,2.6,-1.3,1.4,0.9,0.5
1966,NFL,Cleveland Browns,Cleveland,9,5,0,2nd of 8,,403,259,144,Collier,Kelly,Ryan,Kelly,Collins,2,2,5,9,1,3,2,15,10.3,-2.7,7.6,4.9,2.7
1965,NFL,Cleveland Browns*,Cleveland,11,3,0,1st of 7,Lost Champ,363,325,38,Collier,Brown,Ryan,Brown,Collins,5,7,8,13,3,5,11,14,2.7,-7.1,-4.4,-0.2,-4.2
1964,NFL,Cleveland Browns*,Cleveland,10,3,1,1st of 7,Won Champ,415,293,122,Collier,Brown,Ryan,Brown,Warfield,2,3,5,14,4,2,9,14,8.7,-3.5,5.2,6.5,-1.4
1963,NFL,Cleveland Browns,Cleveland,10,4,0,2nd of 7,,343,262,81,Collier,Brown,Ryan,Brown,Collins,3,5,3,7,9,4,6,14,5.8,-1,4.8,1.2,3.5
1962,NFL,Cleveland Browns,Cleveland,7,6,1,3rd of 7,,291,257,34,Brown,Brown,Ryan,Brown,Kreitling,9,11,3,3,3,4,6,14,2.4,-4,-1.5,-5,3.5
1961,NFL,Cleveland Browns,Cleveland,8,5,1,3rd of 7,,319,270,49,Brown,Brown,Plum,Brown,Renfro,6,7,5,7,4,5,6,14,3.5,-1.9,1.6,0.4,1.2
1960,NFL,Cleveland Browns,Cleveland,8,3,1,2nd of 6,,362,217,145,Brown,Brown,Plum,Brown,Nagler,1,5,4,8,1,1,6,13,12.1,-1.1,11,8.2,2.9
1959,NFL,Cleveland Browns,Cleveland,7,5,0,2nd of 6,,270,214,56,Brown,,Plum,Brown,Renfro,3,4,3,6,2,3,5,12,4.7,-1.6,3,-0.2,3.3
1958,NFL,Cleveland Browns*,Cleveland,9,3,0,1st of 6,Lost Div,302,217,85,Brown,,Plum,Brown,Renfro,3,5,3,5,3,2,5,12,7.1,-2,5.1,2.1,3.1
1957,NFL,Cleveland Browns*,Cleveland,9,2,1,1st of 6,Lost Champ,269,172,97,Brown,,O'Connell,Brown,Brewster,3,5,1,2,4,1,1,12,8.1,-1.2,6.8,2.4,4.5
1956,NFL,Cleveland Browns,Cleveland,5,7,0,4th of 6,,167,177,-10,Brown,,O'Connell,Carpenter,Brewster,11,9,1,2,9,5,6,12,-0.8,-1.6,-2.4,-6.8,4.5
1955,NFL,Cleveland Browns*,Cleveland,9,2,1,1st of 6,Won Champ,349,218,131,Brown,,Graham,Morrison,Brewster,1,3,1,1,2,1,1,12,10.9,1.1,12,9.4,2.6
1954,NFL,Cleveland Browns*,Cleveland,9,3,0,1st of 6,Won Champ,336,162,174,Brown,,Graham,Bassett,Lavelli,2,5,1,1,5,1,1,12,14.5,-4.1,10.4,3.6,6.8
1953,NFL,Cleveland Browns*,Cleveland,11,1,0,1st of 6,Lost Champ,348,162,186,Brown,,Graham,Renfro,Lavelli,4,4,1,6,1,1,4,12,15.5,-1.5,14,7,7
1952,NFL,Cleveland Browns*,Cleveland,8,4,0,1st of 6,Lost Champ,310,213,97,Brown,,Graham,Motley,Speedie,3,1,2,1,5,3,1,12,8.1,0.7,8.7,4.8,3.9
1951,NFL,Cleveland Browns*,Cleveland,11,1,0,1st of 6,Lost Champ,331,152,179,Brown,,Graham,Jones,Speedie,3,8,1,2,1,1,2,12,14.9,-0.3,14.6,6.9,7.8
1950,NFL,Cleveland Browns*,Cleveland,10,2,0,1st of 6,Won Champ,310,144,166,Brown,,Graham,Motley,Lavelli,4,6,2,1,2,1,3,13,13.8,1.7,15.6,5.8,9.7
1949,AAFC,Cleveland Browns*,Cleveland,9,1,2,1st of 7,Won Champ,339,171,168,Brown,,Graham,Motley,Speedie,2,2,1,3,1,2,2,7,14,-2.2,11.8,5.8,6
1948,AAFC,Cleveland Browns*,Cleveland,14,0,0,1st of 4,Won Champ,389,190,199,Brown,,Graham,Motley,Speedie,2,3,1,1,2,2,1,8,14.2,-1.8,12.4,3.7,8.7
1947,AAFC,Cleveland Browns*,Cleveland,12,1,1,1st of 4,Won Champ,410,185,225,Brown,,Graham,Motley,Speedie,1,1,1,2,1,1,1,8,16.1,-2,14.1,7.1,7
1946,AAFC,Cleveland Browns*,Cleveland,12,2,0,1st of 4,Won Champ,423,137,286,Brown,,Graham,Motley,Lavelli,1,1,1,2,1,1,1,8,20.4,-2.6,17.9,9.3,8
2018,NFL,Dallas Cowboys*,Dallas,10,6,0,1st of 4,Lost Div,339,324,15,Garrett,Elliott,Prescott,Elliott,Cooper,22,22,6,7,12,14,15,32,0.9,0.2,1.1,-1.9,2.9
2017,NFL,Dallas Cowboys,Dallas,9,7,0,2nd of 4,,354,332,22,Garrett,Prescott,Prescott,Elliott,Bryant,14,14,13,8,16,15,11,32,1.4,0.2,1.6,0.4,1.2
2016,NFL,Dallas Cowboys*,Dallas,13,3,0,1st of 4,Lost Div,421,306,115,Garrett,Lee,Prescott,Elliott,Beasley,5,5,5,14,9,3,6,32,7.2,-0.2,7,4.1,2.9
2015,NFL,Dallas Cowboys,Dallas,4,12,0,4th of 4,,275,374,-99,Garrett,Lee,Cassel,McFadden,Williams,31,22,16,17,32,29,20,32,-6.2,-0.7,-6.9,-7,0.1
2014,NFL,Dallas Cowboys*,Dallas,12,4,0,1st of 4,Lost Div,467,352,115,Garrett,Murray,Romo,Murray,Bryant,5,7,15,19,9,5,7,32,7.2,-1.8,5.4,5.3,0.1
2013,NFL,Dallas Cowboys,Dallas,8,8,0,2nd of 4,,439,432,7,Garrett,Romo,Romo,Murray,Bryant,5,16,26,32,9,15,31,32,0.4,-1.1,-0.7,2.7,-3.4
2012,NFL,Dallas Cowboys,Dallas,8,8,0,3rd of 4,,376,400,-24,Garrett,Romo,Romo,Murray,Bryant,15,6,24,19,27,19,10,32,-1.5,1.8,0.3,1.4,-1.2
2011,NFL,Dallas Cowboys,Dallas,8,8,0,3rd of 4,,369,347,22,Garrett,Ware,Romo,Murray,Witten,15,11,16,14,10,12,8,32,1.4,0.3,1.6,0.7,0.9
2010,NFL,Dallas Cowboys,Dallas,6,10,0,3rd of 4,,394,436,-42,"Garrett,Phillips",Ware,Kitna,Jones,Austin,7,7,31,23,13,21,12,32,-2.6,0.5,-2.2,2.5,-4.7
2009,NFL,Dallas Cowboys*,Dallas,11,5,0,1st of 4,Lost Div,361,250,111,Phillips,Ratliff,Romo,Barber,Austin,14,2,2,9,13,8,2,32,6.9,0.2,7.1,0.4,6.7
2008,NFL,Dallas Cowboys,Dallas,9,7,0,3rd of 4,,362,365,-3,Phillips,Ware,Romo,Barber,Owens,18,13,20,8,30,19,7,32,-0.2,0.8,0.6,1.7,-1.2
2007,NFL,Dallas Cowboys*,Dallas,13,3,0,1st of 4,Lost Div,455,325,130,Phillips,Romo,Romo,Barber,Owens,2,3,13,9,8,4,4,32,8.1,1.3,9.5,7.8,1.7
2006,NFL,Dallas Cowboys*,Dallas,9,7,0,2nd of 4,Lost WC,425,350,75,Parcells,Adams,Romo,Jones,Owens,4,5,20,13,15,7,9,32,4.7,-1,3.7,5,-1.3
2005,NFL,Dallas Cowboys,Dallas,9,7,0,3rd of 4,,325,308,17,Parcells,Bledsoe,Bledsoe,Jones,Glenn,15,13,12,10,19,15,13,32,1.1,2.1,3.2,-0.1,3.2
2004,NFL,Dallas Cowboys,Dallas,6,10,0,3rd of 4,,293,405,-112,Parcells,Testaverde,Testaverde,Jones,Johnson,25,14,27,16,28,29,16,32,-7,-0.8,-7.8,-3,-4.8
2003,NFL,Dallas Cowboys*,Dallas,10,6,0,2nd of 4,Lost WC,289,260,29,Parcells,Nguyen,Carter,Hambrick,Glenn,21,15,2,1,22,15,2,32,1.8,-2.3,-0.5,-3.2,2.7
2002,NFL,Dallas Cowboys,Dallas,5,11,0,4th of 4,,217,329,-112,Campo,Glover,Hutchinson,Smith,Galloway,31,30,13,18,20,28,28,32,-7,-1.5,-8.5,-8.2,-0.3
2001,NFL,Dallas Cowboys,Dallas,5,11,0,5th of 5,,246,338,-92,Campo,Allen,Carter,Smith,Ismail,30,29,20,4,24,27,19,31,-5.8,-0.2,-6,-4.5,-1.5
2000,NFL,Dallas Cowboys,Dallas,5,11,0,4th of 5,,294,361,-67,Campo,Allen,Aikman,Smith,McKnight,23,25,22,19,28,24,25,31,-4.2,-0.4,-4.6,-1.5,-3
1999,NFL,Dallas Cowboys*,Dallas,8,8,0,2nd of 5,Lost WC,352,276,76,Gailey,Sanders,Aikman,Smith,Ismail,11,16,5,9,6,5,9,31,4.8,-1.6,3.1,-0.3,3.4
1998,NFL,Dallas Cowboys*,Dallas,10,6,0,1st of 5,Lost WC,381,275,106,Gailey,Sanders,Aikman,Smith,Irvin,9,8,3,18,3,6,11,30,6.6,-3.1,3.5,0.9,2.6
1997,NFL,Dallas Cowboys,Dallas,6,10,0,4th of 5,,304,314,-10,Switzer,Sanders,Aikman,Smith,Irvin,22,20,13,2,22,17,8,30,-0.6,-0.1,-0.8,-1.7,1
1996,NFL,Dallas Cowboys*,Dallas,10,6,0,1st of 5,Lost Div,286,250,36,Switzer,Sanders,Aikman,Smith,Irvin,25,24,3,3,9,10,10,30,2.3,0.1,2.4,-2.9,5.3
1995,NFL,Dallas Cowboys*,Dallas,12,4,0,1st of 5,Won SB,435,291,144,Switzer,Smith,Aikman,Smith,Irvin,3,5,3,9,11,2,4,30,9,0.7,9.7,6.2,3.5
1994,NFL,Dallas Cowboys*,Dallas,12,4,0,1st of 5,Lost Conf,414,248,166,Switzer,Smith,Aikman,Smith,Irvin,2,8,3,1,8,2,3,28,10.4,-0.3,10.1,5.6,4.5
1993,NFL,Dallas Cowboys*,Dallas,12,4,0,1st of 5,Won SB,376,229,147,Johnson,Smith,Aikman,Smith,Irvin,2,4,2,10,8,2,2,28,9.2,0.4,9.6,4.9,4.7
1992,NFL,Dallas Cowboys*,Dallas,13,3,0,1st of 5,Won SB,409,243,166,Johnson,Smith,Aikman,Smith,Irvin,2,4,5,1,7,2,1,28,10.4,-0.4,10,6.4,3.6
1991,NFL,Dallas Cowboys*,Dallas,11,5,0,2nd of 5,Lost Div,342,310,32,Johnson,Irvin,Aikman,Smith,Irvin,7,9,17,17,14,10,13,28,2,2.4,4.4,3.7,0.8
1990,NFL,Dallas Cowboys,Dallas,7,9,0,4th of 5,,244,308,-64,Johnson,Stubbs,Aikman,Smith,Martin,26,28,15,10,16,21,20,28,-4,0.3,-3.7,-4.8,1.1
1989,NFL,Dallas Cowboys,Dallas,1,15,0,5th of 5,,204,393,-189,Johnson,Lockhart,Aikman,Palmer,Martin,28,27,24,20,28,28,26,28,-11.8,1.4,-10.4,-7.6,-2.8
1988,NFL,Dallas Cowboys,Dallas,3,13,0,5th of 5,,265,381,-116,Landry,Walker,Pelluer,Walker,Alexander,21,9,25,20,27,28,11,28,-7.3,1.2,-6.1,-3.8,-2.3
1987,NFL,Dallas Cowboys,Dallas,7,8,0,2nd of 5,,340,348,-8,Landry,Walker,White,Walker,Walker,11,11,18,20,13,15,13,28,-0.5,-1.5,-2,-0.2,-1.8
1986,NFL,Dallas Cowboys,Dallas,7,9,0,3rd of 5,,346,337,9,Landry,Walker,Pelluer,Dorsett,Walker,14,6,18,10,18,14,7,28,0.6,1.5,2.1,3,-0.9
1985,NFL,Dallas Cowboys*,Dallas,10,6,0,1st of 5,Lost Div,357,333,24,Landry,White,White,Dorsett,Hill,11,8,14,20,5,12,15,28,1.5,-1.3,0.2,0.6,-0.3
1984,NFL,Dallas Cowboys,Dallas,9,7,0,4th of 5,,308,308,0,Landry,White,Hogeboom,Dorsett,Hill,18,11,9,7,12,13,8,28,0,1,1,-1.4,2.4
1983,NFL,Dallas Cowboys*,Dallas,12,4,0,2nd of 5,Lost WC,479,360,119,Landry,White,White,Dorsett,Hill,2,5,20,17,7,4,6,28,7.4,1.1,8.5,8.6,-0.1
1982,NFL,Dallas Cowboys*,Dallas,6,3,0,2nd of 5,Lost Conf,226,145,81,Landry,White,White,Dorsett,Hill,5,5,3,11,16,1,5,28,9,-0.8,8.2,5.2,3
1981,NFL,Dallas Cowboys*,Dallas,12,4,0,1st of 5,Lost Conf,367,277,90,Landry,White,White,Dorsett,Hill,6,5,7,20,2,4,11,28,5.6,0.5,6.1,2.9,3.2
1980,NFL,Dallas Cowboys*,Dallas,12,4,0,2nd of 5,Lost Conf,454,311,143,Landry,Scott,White,Dorsett,Hill,1,9,13,17,6,2,10,28,8.9,-1,8,7.8,0.1
1979,NFL,Dallas Cowboys*,Dallas,11,5,0,1st of 5,Lost Div,371,313,58,Landry,Staubach,Staubach,Dorsett,Hill,5,2,12,8,25,5,2,28,3.6,-0.3,3.3,3,0.3
1978,NFL,Dallas Cowboys*,Dallas,12,4,0,1st of 5,Lost SB,384,208,176,Landry,Dorsett,Staubach,Dorsett,Hill,1,2,3,2,11,1,1,28,11,0,11,5.8,5.2
1977,NFL,Dallas Cowboys*,Dallas,12,2,0,1st of 5,Won SB,345,212,133,Landry,Staubach,Staubach,Dorsett,Pearson,2,1,8,1,6,2,1,28,9.5,-1.7,7.8,7.6,0.2
1976,NFL,Dallas Cowboys*,Dallas,11,3,0,1st of 5,Lost Div,296,194,102,Landry,Staubach,Staubach,Dennison,Pearson,10,4,5,7,16,9,4,28,7.3,-2.8,4.5,0.5,4
1975,NFL,Dallas Cowboys*,Dallas,10,4,0,2nd of 5,Lost SB,350,268,82,Landry,Staubach,Staubach,Newhouse,Pearson,8,3,9,5,6,8,3,26,5.9,-1.7,4.1,4,0.1
1974,NFL,Dallas Cowboys,Dallas,8,6,0,3rd of 5,,297,235,62,Landry,Staubach,Staubach,Hill,Pearson,8,1,10,4,19,8,1,26,4.4,1.5,5.9,4,1.9
1973,NFL,Dallas Cowboys*,Dallas,10,4,0,1st of 5,Lost Conf,382,203,179,Landry,Staubach,Staubach,Hill,DuPree,2,4,7,5,3,3,3,26,12.8,0,12.8,6.8,6
1972,NFL,Dallas Cowboys*,Dallas,10,4,0,2nd of 5,Lost Conf,319,240,79,Landry,Hill,Morton,Hill,Sellers,10,6,6,6,18,7,4,26,5.6,0.5,6.1,3.4,2.7
1971,NFL,Dallas Cowboys*,Dallas,11,3,0,1st of 5,Won SB,406,222,184,Landry,Wright,Staubach,Thomas,Hayes,1,1,7,3,2,1,1,26,13.1,-3.3,9.9,8.3,1.6
1970,NFL,Dallas Cowboys*,Dallas,10,4,0,1st of 5,Lost SB,299,221,78,Landry,Howley,Morton,Thomas,Hayes,10,4,4,4,6,7,2,26,5.6,1.4,7,2.5,4.5
1969,NFL,Dallas Cowboys*,Dallas,11,2,1,1st of 4,Lost Div,369,223,146,Landry,Lilly,Morton,Hill,Rentzel,2,1,4,3,7,2,1,16,10.4,-3.5,6.9,2.5,4.4
1968,NFL,Dallas Cowboys*,Dallas,12,2,0,1st of 4,Lost Div,431,186,245,Landry,Howley,Meredith,Perkins,Rentzel,1,1,2,4,4,2,1,16,17.5,-3.7,13.8,8.4,5.5
1967,NFL,Dallas Cowboys*,Dallas,9,5,0,1st of 4,Lost Conf,342,268,74,Landry,Green,Meredith,Perkins,Hayes,6,5,6,7,4,4,4,16,5.3,-2.4,2.9,0.1,2.9
1966,NFL,Dallas Cowboys*,Dallas,10,3,1,1st of 8,Lost Conf,445,239,206,Landry,Hayes,Meredith,Reeves,Hayes,1,1,4,2,5,1,1,15,14.7,-4,10.7,7,3.7
1965,NFL,Dallas Cowboys,Dallas,7,7,0,2nd of 7,,325,280,45,Landry,Lilly,Meredith,Perkins,Hayes,7,10,3,6,6,4,8,14,3.2,-6.5,-3.3,-3.1,-0.2
1964,NFL,Dallas Cowboys,Dallas,5,8,1,5th of 7,,250,289,-39,Landry,Lilly,Meredith,Perkins,Clarke,12,14,4,2,9,9,6,14,-2.8,-2.7,-5.4,-6.2,0.8
1963,NFL,Dallas Cowboys,Dallas,4,10,0,5th of 7,,305,378,-73,Landry,Meredith,Meredith,Perkins,Clarke,9,9,10,13,6,9,12,14,-5.2,0.2,-5,-0.5,-4.5
1962,NFL,Dallas Cowboys,Dallas,5,8,1,5th of 7,,398,402,-4,Landry,Marsh,Meredith,Perkins,Clarke,2,2,13,13,9,7,9,14,-0.3,-3.7,-4,4.5,-8.5
1961,NFL,Dallas Cowboys,Dallas,4,9,1,6th of 7,,236,380,-144,Landry,Bishop,LeBaron,Perkins,Clarke,13,8,12,10,10,13,10,14,-10.3,-2.1,-12.4,-5.9,-6.4
1960,NFL,Dallas Cowboys,Dallas,0,11,1,7th of 7,,177,369,-192,Landry,Doran,LeBaron,Dupre,Doran,13,12,13,13,13,13,12,13,-16,1.2,-14.8,-6.1,-8.7
2018,NFL,Denver Broncos,Denver,6,10,0,3rd of 4,,329,349,-20,Joseph,Miller,Keenum,Lindsay,Sanders,24,19,13,22,8,18,23,32,-1.3,0.7,-0.5,-3.6,3.1
2017,NFL,Denver Broncos,Denver,5,11,0,4th of 4,,289,382,-93,Joseph,Miller,Siemian,Anderson,Thomas,27,17,22,3,31,27,8,32,-5.8,-0.9,-6.7,-3.9,-2.9
2016,NFL,Denver Broncos,Denver,9,7,0,3rd of 4,,333,297,36,Kubiak,Miller,Siemian,Booker,Thomas,22,27,4,4,13,9,14,32,2.3,1.8,4,-2,6.1
2015,NFL,Denver Broncos*,Denver,12,4,0,1st of 4,Won SB,355,296,59,Kubiak,Miller,Manning,Hillman,Thomas,19,16,4,1,19,10,3,32,3.7,2.1,5.8,0.3,5.5
2014,NFL,Denver Broncos*,Denver,12,4,0,1st of 4,Lost Div,482,354,128,Fox,Manning,Manning,Anderson,Thomas,2,4,16,3,11,4,2,32,8,1.6,9.6,9.2,0.4
2013,NFL,Denver Broncos*,Denver,13,3,0,1st of 4,Lost SB,606,399,207,Fox,Vasquez,Manning,Moreno,Thomas,1,1,22,19,14,1,1,32,12.9,-1.6,11.4,14.1,-2.7
2012,NFL,Denver Broncos*,Denver,13,3,0,1st of 4,Lost Div,481,289,192,Fox,Miller,Manning,McGahee,Thomas,2,4,4,2,17,2,1,32,12,-1.9,10.1,6.3,3.8
2011,NFL,Denver Broncos*,Denver,8,8,0,1st of 4,Lost Div,309,390,-81,Fox,Miller,Tebow,McGahee,Decker,25,23,24,20,26,25,27,32,-5.1,-0.2,-5.3,-3.6,-1.7
2010,NFL,Denver Broncos,Denver,4,12,0,4th of 4,,344,471,-127,"McDaniels,Studesville",Lloyd,Orton,Moreno,Lloyd,19,13,32,32,27,29,25,32,-7.9,-1,-8.9,-1.1,-7.8
2009,NFL,Denver Broncos,Denver,8,8,0,2nd of 4,,326,324,2,McDaniels,Dumervil,Orton,Moreno,Marshall,20,15,12,7,7,18,13,32,0.1,0.2,0.3,-1,1.3
2008,NFL,Denver Broncos,Denver,8,8,0,2nd of 4,,370,448,-78,Shanahan,Cutler,Cutler,Hillis,Marshall,16,2,30,29,31,25,14,32,-4.9,-0.9,-5.8,0.7,-6.5
2007,NFL,Denver Broncos,Denver,7,9,0,2nd of 4,,320,409,-89,Shanahan,Cutler,Cutler,Young,Marshall,21,11,28,19,13,23,15,32,-5.6,1.6,-3.9,-0.2,-3.8
2006,NFL,Denver Broncos,Denver,9,7,0,3rd of 4,,319,305,14,Shanahan,Bailey,Plummer,Bell,Walker,17,21,8,14,17,14,20,32,0.9,0.4,1.3,-0.8,2.1
2005,NFL,Denver Broncos*,Denver,13,3,0,1st of 4,Lost Conf,395,258,137,Shanahan,Plummer,Plummer,Anderson,Smith,7,5,3,15,2,3,5,32,8.6,2.2,10.8,5,5.8
2004,NFL,Denver Broncos*,Denver,10,6,0,2nd of 4,Lost WC,381,304,77,Shanahan,Bailey,Plummer,Droughns,Smith,9,5,9,4,24,7,1,32,4.8,1,5.9,1.6,4.3
2003,NFL,Denver Broncos*,Denver,10,6,0,2nd of 4,Lost WC,381,301,80,Shanahan,Nalen,Plummer,Portis,Smith,10,7,9,4,22,9,1,32,5,0.5,5.5,2.4,3.1
2002,NFL,Denver Broncos,Denver,9,7,0,2nd of 4,,392,344,48,Shanahan,Portis,Griese,Portis,Smith,7,3,15,6,21,8,1,32,3,1.9,4.9,3,1.9
2001,NFL,Denver Broncos,Denver,8,8,0,3rd of 5,,340,339,1,Shanahan,Smith,Griese,Davis,Smith,10,22,21,8,6,15,14,31,0.1,-0.5,-0.5,0.5,-1
2000,NFL,Denver Broncos*,Denver,11,5,0,2nd of 5,Lost WC,485,369,116,Shanahan,Nalen,Griese,Anderson,Smith,2,2,23,24,2,5,5,31,7.3,-2.2,5,7.8,-2.7
1999,NFL,Denver Broncos,Denver,6,10,0,5th of 5,,314,318,-4,Shanahan,Pryce,Griese,Gary,Smith,18,14,11,7,15,20,7,31,-0.3,3.6,3.4,1,2.4
1998,NFL,Denver Broncos*,Denver,14,2,0,1st of 5,Won SB,501,309,192,Shanahan,Davis,Elway,Davis,Smith,2,3,8,11,5,2,3,30,12,-3.1,8.9,9.5,-0.6
1997,NFL,Denver Broncos*,Denver,12,4,0,2nd of 5,Won SB,472,287,185,Shanahan,Davis,Elway,Davis,Smith,1,1,6,5,4,1,1,30,11.6,-0.9,10.7,8.1,2.6
1996,NFL,Denver Broncos*,Denver,13,3,0,1st of 5,Lost Div,391,275,116,Shanahan,Williams,Elway,Davis,Sharpe,4,1,7,4,16,4,2,30,7.3,0.3,7.6,3.7,3.9
1995,NFL,Denver Broncos,Denver,8,8,0,4th of 5,,388,345,43,Shanahan,Elway,Elway,Davis,Miller,9,3,17,15,30,8,3,30,2.7,0.4,3.1,3.3,-0.2
1994,NFL,Denver Broncos,Denver,7,9,0,4th of 5,,347,396,-49,Phillips,Elway,Elway,Russell,Miller,10,6,25,28,22,20,19,28,-3.1,-0.3,-3.3,1.3,-4.6
1993,NFL,Denver Broncos*,Denver,9,7,0,3rd of 5,Lost WC,373,284,89,Phillips,Elway,Elway,Bernstine,Sharpe,3,5,10,19,11,4,9,28,5.6,-0.5,5,4.6,0.4
1992,NFL,Denver Broncos,Denver,8,8,0,3rd of 5,,262,329,-67,Reeves,Atwater,Elway,Green,Jackson,22,21,19,22,25,19,24,28,-4.2,0.8,-3.4,-1.4,-1.9
1991,NFL,Denver Broncos*,Denver,12,4,0,1st of 5,Lost Conf,304,235,69,Reeves,Atwater,Elway,Green,Young,12,12,3,5,6,7,8,28,4.3,-0.9,3.4,0.3,3.1
1990,NFL,Denver Broncos,Denver,5,11,0,5th of 5,,331,374,-43,Reeves,Elway,Elway,Humphrey,Jackson,16,8,23,20,24,19,16,28,-2.7,1.9,-0.8,2.1,-2.9
1989,NFL,Denver Broncos*,Denver,11,5,0,1st of 5,Lost SB,362,226,136,Reeves,Mecklenburg,Elway,Humphrey,Johnson,8,15,1,3,3,2,7,28,8.5,0.8,9.3,3.7,5.7
1988,NFL,Denver Broncos,Denver,8,8,0,2nd of 5,,327,352,-25,Reeves,Elway,Elway,Dorsett,Johnson,15,8,20,22,21,15,12,28,-1.6,-1.8,-3.3,0.1,-3.4
1987,NFL,Denver Broncos*,Denver,10,4,1,1st of 5,Lost SB,379,288,91,Reeves,Elway,Elway,Winder,Johnson,4,2,7,9,4,5,5,28,6.1,-1.9,4.1,3.2,0.9
1986,NFL,Denver Broncos*,Denver,11,5,0,1st of 5,Lost SB,378,327,51,Reeves,Elway,Elway,Winder,Jackson,6,15,15,9,9,9,10,28,3.2,2,5.2,3.4,1.8
1985,NFL,Denver Broncos,Denver,11,5,0,2nd of 5,,380,329,51,Reeves,Jones,Elway,Winder,Watson,8,10,13,13,7,8,9,28,3.2,0.4,3.6,1.8,1.9
1984,NFL,Denver Broncos*,Denver,13,3,0,1st of 5,Lost Div,353,241,112,Reeves,Jones,Elway,Winder,Watson,11,22,2,25,2,5,24,28,7,0.7,7.7,1,6.7
1983,NFL,Denver Broncos*,Denver,9,7,0,3rd of 5,Lost WC,302,327,-25,Reeves,Gradishar,Elway,Winder,Watson,21,26,9,21,8,19,24,28,-1.6,-1.2,-2.8,-4.1,1.3
1982,NFL,Denver Broncos,Denver,2,7,0,5th of 5,,148,226,-78,Reeves,Gradishar,DeBerg,Willhite,Watson,20,15,25,24,28,26,24,28,-8.7,-1.1,-9.7,-6,-3.8
1981,NFL,Denver Broncos,Denver,10,6,0,2nd of 5,,321,289,32,Reeves,Swenson,Morton,Parros,Watson,17,14,9,6,8,15,7,28,2,-0.7,1.3,-1.6,2.9
1980,NFL,Denver Broncos,Denver,8,8,0,4th of 5,,310,323,-13,Miller,Foley,Morton,Jensen,Moses,16,25,16,15,23,15,21,28,-0.8,1.3,0.5,-1.1,1.6
1979,NFL,Denver Broncos*,Denver,10,6,0,2nd of 5,Lost WC,289,262,27,Miller,Wright,Morton,Armstrong,Moses,20,12,5,10,16,12,8,28,1.7,2.4,4.1,-1.6,5.7
1978,NFL,Denver Broncos*,Denver,10,6,0,1st of 5,Lost Div,282,198,84,Miller,Gradishar,Morton,Perrin,Odoms,15,14,2,6,2,4,6,28,5.3,-0.2,5,-1.9,6.9
1977,NFL,Denver Broncos*,Denver,12,2,0,1st of 5,Lost SB,274,148,126,Miller,Gradishar,Morton,Armstrong,Moses,10,17,3,9,5,3,13,28,9,2.3,11.3,1.9,9.4
1976,NFL,Denver Broncos,Denver,9,5,0,2nd of 5,,315,206,109,Ralston,Armstrong,Ramsey,Armstrong,Moses,7,16,6,8,12,8,13,28,7.8,-0.8,6.9,2.5,4.4
1975,NFL,Denver Broncos,Denver,6,8,0,2nd of 4,,254,307,-53,Ralston,Gradishar,Ramsey,Keyworth,Odoms,17,10,18,9,24,16,8,26,-3.8,0.3,-3.4,-2.7,-0.7
1974,NFL,Denver Broncos,Denver,7,6,1,2nd of 4,,302,294,8,Ralston,Armstrong,Johnson,Armstrong,Odoms,7,5,22,21,9,13,11,26,0.6,0.1,0.6,3.4,-2.8
1973,NFL,Denver Broncos,Denver,7,5,2,3rd of 4,,354,296,58,Ralston,Little,Johnson,Little,Odoms,3,6,15,19,13,9,9,26,4.1,-1.2,2.9,5.4,-2.5
1972,NFL,Denver Broncos,Denver,5,9,0,3rd of 4,,325,350,-25,Ralston,Little,Johnson,Little,Sherman,9,5,21,9,23,18,6,26,-1.8,-0.1,-1.9,2.9,-4.7
